,number,title,link,repository,repo_name,repo_url,created_at,updated_at,pull_request,filter
50,21,"<a href=""https://github.com/Living-with-machines/deduplify/issues/21"" rel=""noopener noreferrer"" target=""_blank"">Remove `/Users/${USER}` from filename</a>",https://github.com/Living-with-machines/deduplify/issues/21,"<a href=""https://github.com/Living-with-machines/deduplify"" rel=""noopener noreferrer"" target=""_blank"">Living-with-machines/deduplify</a>",Living-with-machines/deduplify,https://github.com/Living-with-machines/deduplify,2021-05-26T13:41:03Z,2021-05-26T13:41:12Z,False,created
51,20,"<a href=""https://github.com/Living-with-machines/deduplify/issues/20"" rel=""noopener noreferrer"" target=""_blank"">Update to handle cases where the length of the filenames are equivalent</a>",https://github.com/Living-with-machines/deduplify/issues/20,"<a href=""https://github.com/Living-with-machines/deduplify"" rel=""noopener noreferrer"" target=""_blank"">Living-with-machines/deduplify</a>",Living-with-machines/deduplify,https://github.com/Living-with-machines/deduplify,2021-05-26T13:27:20Z,2021-05-26T13:34:33Z,False,created
52,26,"<a href=""https://github.com/sgibson91/open-practices-toolkit/pull/26"" rel=""noopener noreferrer"" target=""_blank"">Add interview script</a>",https://github.com/sgibson91/open-practices-toolkit/pull/26,"<a href=""https://github.com/sgibson91/open-practices-toolkit"" rel=""noopener noreferrer"" target=""_blank"">sgibson91/open-practices-toolkit</a>",sgibson91/open-practices-toolkit,https://github.com/sgibson91/open-practices-toolkit,2021-05-25T14:25:33Z,2021-05-25T14:33:09Z,True,created
53,22,"<a href=""https://github.com/sgibson91/open-practices-toolkit/issues/22"" rel=""noopener noreferrer"" target=""_blank"">Organise content</a>",https://github.com/sgibson91/open-practices-toolkit/issues/22,"<a href=""https://github.com/sgibson91/open-practices-toolkit"" rel=""noopener noreferrer"" target=""_blank"">sgibson91/open-practices-toolkit</a>",sgibson91/open-practices-toolkit,https://github.com/sgibson91/open-practices-toolkit,2021-05-10T15:08:10Z,2021-05-10T15:09:50Z,False,created
54,24,"<a href=""https://github.com/sgibson91/open-practices-toolkit/issues/24"" rel=""noopener noreferrer"" target=""_blank"">Contextualise the toolkit</a>",https://github.com/sgibson91/open-practices-toolkit/issues/24,"<a href=""https://github.com/sgibson91/open-practices-toolkit"" rel=""noopener noreferrer"" target=""_blank"">sgibson91/open-practices-toolkit</a>",sgibson91/open-practices-toolkit,https://github.com/sgibson91/open-practices-toolkit,2021-05-10T15:09:28Z,2021-05-10T15:09:28Z,False,created
55,23,"<a href=""https://github.com/sgibson91/open-practices-toolkit/issues/23"" rel=""noopener noreferrer"" target=""_blank"">Advertise toolkit: blog</a>",https://github.com/sgibson91/open-practices-toolkit/issues/23,"<a href=""https://github.com/sgibson91/open-practices-toolkit"" rel=""noopener noreferrer"" target=""_blank"">sgibson91/open-practices-toolkit</a>",sgibson91/open-practices-toolkit,https://github.com/sgibson91/open-practices-toolkit,2021-05-10T15:08:31Z,2021-05-10T15:08:31Z,False,created
56,21,"<a href=""https://github.com/sgibson91/open-practices-toolkit/issues/21"" rel=""noopener noreferrer"" target=""_blank"">Display/host content</a>",https://github.com/sgibson91/open-practices-toolkit/issues/21,"<a href=""https://github.com/sgibson91/open-practices-toolkit"" rel=""noopener noreferrer"" target=""_blank"">sgibson91/open-practices-toolkit</a>",sgibson91/open-practices-toolkit,https://github.com/sgibson91/open-practices-toolkit,2021-05-10T15:07:06Z,2021-05-10T15:07:06Z,False,created
57,20,"<a href=""https://github.com/sgibson91/open-practices-toolkit/issues/20"" rel=""noopener noreferrer"" target=""_blank"">Generalise content to be non-Turing specific</a>",https://github.com/sgibson91/open-practices-toolkit/issues/20,"<a href=""https://github.com/sgibson91/open-practices-toolkit"" rel=""noopener noreferrer"" target=""_blank"">sgibson91/open-practices-toolkit</a>",sgibson91/open-practices-toolkit,https://github.com/sgibson91/open-practices-toolkit,2021-05-10T15:06:42Z,2021-05-10T15:06:42Z,False,created
58,15,"<a href=""https://github.com/sgibson91/open-practices-toolkit/issues/15"" rel=""noopener noreferrer"" target=""_blank"">Informed consent</a>",https://github.com/sgibson91/open-practices-toolkit/issues/15,"<a href=""https://github.com/sgibson91/open-practices-toolkit"" rel=""noopener noreferrer"" target=""_blank"">sgibson91/open-practices-toolkit</a>",sgibson91/open-practices-toolkit,https://github.com/sgibson91/open-practices-toolkit,2021-05-10T14:29:07Z,2021-05-10T14:56:47Z,False,created
59,16,"<a href=""https://github.com/sgibson91/open-practices-toolkit/issues/16"" rel=""noopener noreferrer"" target=""_blank"">Participant Information Sheet</a>",https://github.com/sgibson91/open-practices-toolkit/issues/16,"<a href=""https://github.com/sgibson91/open-practices-toolkit"" rel=""noopener noreferrer"" target=""_blank"">sgibson91/open-practices-toolkit</a>",sgibson91/open-practices-toolkit,https://github.com/sgibson91/open-practices-toolkit,2021-05-10T14:29:08Z,2021-05-10T14:50:52Z,False,created
60,17,"<a href=""https://github.com/sgibson91/open-practices-toolkit/issues/17"" rel=""noopener noreferrer"" target=""_blank"">Ethics Approval</a>",https://github.com/sgibson91/open-practices-toolkit/issues/17,"<a href=""https://github.com/sgibson91/open-practices-toolkit"" rel=""noopener noreferrer"" target=""_blank"">sgibson91/open-practices-toolkit</a>",sgibson91/open-practices-toolkit,https://github.com/sgibson91/open-practices-toolkit,2021-05-10T14:29:10Z,2021-05-10T14:50:26Z,False,created
61,18,"<a href=""https://github.com/sgibson91/open-practices-toolkit/issues/18"" rel=""noopener noreferrer"" target=""_blank"">Interview Script</a>",https://github.com/sgibson91/open-practices-toolkit/issues/18,"<a href=""https://github.com/sgibson91/open-practices-toolkit"" rel=""noopener noreferrer"" target=""_blank"">sgibson91/open-practices-toolkit</a>",sgibson91/open-practices-toolkit,https://github.com/sgibson91/open-practices-toolkit,2021-05-10T14:29:11Z,2021-05-10T14:29:12Z,False,created
62,14,"<a href=""https://github.com/sgibson91/open-practices-toolkit/issues/14"" rel=""noopener noreferrer"" target=""_blank"">Target Respondent Distribution</a>",https://github.com/sgibson91/open-practices-toolkit/issues/14,"<a href=""https://github.com/sgibson91/open-practices-toolkit"" rel=""noopener noreferrer"" target=""_blank"">sgibson91/open-practices-toolkit</a>",sgibson91/open-practices-toolkit,https://github.com/sgibson91/open-practices-toolkit,2021-05-10T14:29:05Z,2021-05-10T14:29:06Z,False,created
63,1210,"<a href=""https://github.com/alan-turing-institute/the-turing-way/issues/1210"" rel=""noopener noreferrer"" target=""_blank"">Rename default branch to remove unnecessary slavery reference</a>",https://github.com/alan-turing-institute/the-turing-way/issues/1210,"<a href=""https://github.com/alan-turing-institute/the-turing-way"" rel=""noopener noreferrer"" target=""_blank"">alan-turing-institute/the-turing-way</a>",alan-turing-institute/the-turing-way,https://github.com/alan-turing-institute/the-turing-way,2020-06-15T08:17:37Z,2021-10-26T19:33:48Z,False,created
64,1850,"<a href=""https://github.com/alan-turing-institute/the-turing-way/pull/1850"" rel=""noopener noreferrer"" target=""_blank"">[WIP] Move Binder tutorial into the Comms Guide</a>",https://github.com/alan-turing-institute/the-turing-way/pull/1850,"<a href=""https://github.com/alan-turing-institute/the-turing-way"" rel=""noopener noreferrer"" target=""_blank"">alan-turing-institute/the-turing-way</a>",alan-turing-institute/the-turing-way,https://github.com/alan-turing-institute/the-turing-way,2021-04-14T08:14:20Z,2021-10-26T10:46:28Z,True,created
